"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-01 20:00","2023","10","01","20:00","8.2","","4.7","","79","","0.0","","16","","13","","","","93.82","","","","","","NA"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-01 21:00","2023","10","01","21:00","7.9","","4.9","","81","","0.0","","17","","16","","","","93.78","","","","","","NA"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-01 22:00","2023","10","01","22:00","7.7","","4.9","","83","","0.0","","18","","21","","","","93.73","","","","","","NA"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-01 23:00","2023","10","01","23:00","7.5","","4.9","","84","","0.0","","18","","20","","","","93.66","","","","","","NA"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-02 00:00","2023","10","02","00:00","6.5","","4.5","","87","","0.0","","19","","14","","","","93.60","","","","","","NA"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-02 01:00","2023","10","02","01:00","6.6","","4.4","","86","","0.0","","20","","13","","","","93.56","","","","","","NA"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-02 02:00","2023","10","02","02:00","6.6","","4.4","","86","","0.0","","21","","13","","","","93.53","","","","","","NA"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-02 03:00","2023","10","02","03:00","7.0","","4.3","","83","","0.0","","21","","14","","","","93.49","","","","","","NA"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-02 04:00","2023","10","02","04:00","6.9","","4.2","","83","","0.0","","19","","19","","","","93.38","","","","","","NA"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-02 05:00","2023","10","02","05:00","6.8","","4.1","","83","","0.0","","20","","11","","","","93.40","","","","","","NA"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-02 06:00","2023","10","02","06:00","6.5","","4.2","","85","","0.0","","19","","10","","","","93.37","","","","","","NA"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-02 07:00","2023","10","02","07:00","6.3","","4.4","","88","","0.0","","20","","10","","","","93.35","","","","","","NA"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-02 08:00","2023","10","02","08:00","6.3","","5.3","","94","","0.0","","22","","7","","","","93.35","","","","","","NA"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-02 09:00","2023","10","02","09:00","7.0","","5.9","","93","","0.0","","23","","7","","","","93.35","","","","","","NA"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-02 10:00","2023","10","02","10:00","7.8","","6.7","","92","","0.0","","22","","6","","","","93.33","","","","","","NA"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-02 11:00","2023","10","02","11:00","8.9","","7.2","","89","","0.0","","21","","2","","","","93.30","","","","","","NA"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-02 12:00","2023","10","02","12:00","10.8","","8.0","","83","","0.0","","20","","10","","","","93.26","","","","","","NA"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-02 13:00","2023","10","02","13:00","11.3","","8.1","","81","","0.0","","22","","9","","","","93.25","","","","","","NA"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-02 14:00","2023","10","02","14:00","13.0","","9.0","","77","","0.0","","21","","9","","","","93.23","","","","","","NA"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-02 15:00","2023","10","02","15:00","13.6","","8.1","","69","","0.0","","23","","10","","","","93.22","","","","","","NA"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-02 16:00","2023","10","02","16:00","13.9","","8.0","","67","","0.0","","22","","8","","","","93.22","","","","","","NA"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-02 17:00","2023","10","02","17:00","13.0","","8.6","","75","","0.0","","23","","9","","","","93.25","","","","","","NA"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-02 18:00","2023","10","02","18:00","11.5","","7.7","","77","","0.0","","23","","5","","","","93.27","","","","","","NA"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-02 19:00","2023","10","02","19:00","9.1","","8.0","","93","","0.0","","20","","6","","","","93.32","","","","","","NA"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-02 20:00","2023","10","02","20:00","8.2","","7.9","","98","","0.0","","20","","9","","","","93.35","","","","","","NA"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-02 21:00","2023","10","02","21:00","5.4","","4.7","","96","","0.0","","20","","5","","","","93.40","","","","","","NA"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-02 22:00","2023","10","02","22:00","6.7","","6.6","","99","","0.0","","19","","8","","","","93.43","","","","","","NA"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-02 23:00","2023","10","02","23:00","5.9","","5.0","","94","","0.0","","21","","8","","","","93.45","","","","","","NA"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-03 00:00","2023","10","03","00:00","7.1","","5.4","","89","","0.0","","23","","7","","","","93.45","","","","","","NA"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-03 01:00","2023","10","03","01:00","7.2","","5.5","","89","","0.0","","23","","7","","","","93.50","","","","","","NA"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-03 02:00","2023","10","03","02:00","6.1","","4.5","","90","","0.0","","21","","7","","","","93.48","","","","","","NA"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-03 03:00","2023","10","03","03:00","5.5","","3.9","","90","","0.0","","23","","7","","","","93.51","","","","","","NA"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-03 04:00","2023","10","03","04:00","4.1","","3.4","","96","","0.0","","23","","9","","","","93.56","","","","","","NA"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-03 05:00","2023","10","03","05:00","5.1","","3.9","","92","","0.0","","23","","8","","","","93.62","","","","","","NA"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-03 06:00","2023","10","03","06:00","4.0","","3.3","","95","","0.0","","24","","7","","","","93.63","","","","","","NA"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-03 07:00","2023","10","03","07:00","4.0","","3.0","","94","","0.0","","22","","7","","","","93.69","","","","","","NA"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-03 08:00","2023","10","03","08:00","5.6","","3.7","","87","","0.0","","24","","5","","","","93.74","","","","","","NA"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-03 09:00","2023","10","03","09:00","8.3","","5.4","","82","","0.0","","25","","8","","","","93.75","","","","","","NA"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-03 10:00","2023","10","03","10:00","10.6","","5.4","","70","","0.0","","31","","8","","","","93.74","","","","","","NA"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-03 11:00","2023","10","03","11:00","12.1","","4.5","","60","","0.0","","27","","9","","","","93.70","","","","","","NA"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-03 12:00","2023","10","03","12:00","13.7","","3.4","","49","","0.0","","30","","10","","","","93.69","","","","","","NA"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-03 13:00","2023","10","03","13:00","15.2","","2.4","","42","","0.0","","30","","7","","","","93.66","","","","","","NA"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-03 14:00","2023","10","03","14:00","15.8","","2.6","","41","","0.0","","28","","13","","","","93.63","","","","","","NA"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-03 15:00","2023","10","03","15:00","15.9","","2.0","","39","","0.0","","28","","9","","","","93.59","","","","","","NA"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-03 16:00","2023","10","03","16:00","15.8","","1.6","","38","","0.0","","30","","10","","","","93.55","","","","","","NA"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-03 17:00","2023","10","03","17:00","13.9","","2.4","","46","","0.0","","22","","5","","","","93.48","","","","","","NA"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-03 18:00","2023","10","03","18:00","11.3","","2.4","","54","","0.0","","21","","6","","","","93.44","","","","","","NA"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-03 19:00","2023","10","03","19:00","9.0","","1.8","","61","","0.0","","20","","7","","","","93.40","","","","","","NA"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-03 20:00","2023","10","03","20:00","7.2","","1.7","","68","","0.0","","20","","7","","","","93.35","","","","","","NA"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-03 21:00","2023","10","03","21:00","6.6","","2.1","","73","","0.0","","19","","9","","","","93.27","","","","","","NA"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-03 22:00","2023","10","03","22:00","8.2","","3.4","","72","","0.0","","26","","13","","","","93.32","","","","","","NA"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-03 23:00","2023","10","03","23:00","8.4","","4.9","","78","","0.0","","27","","9","","","","93.34","","","","","","NA"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-04 00:00","2023","10","04","00:00","7.3","","6.0","","91","","1.0","","28","","6","","","","93.32","","","","","","NA"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-04 01:00","2023","10","04","01:00","7.1","","6.3","","95","","0.6","","21","","9","","","","93.24","","","","","","NA"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-04 02:00","2023","10","04","02:00","7.3","","6.0","","92","","0.0","","22","","11","","","","93.22","","","","","","NA"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-04 03:00","2023","10","04","03:00","6.7","","5.8","","94","","0.0","","23","","14","","","","93.22","","","","","","NA"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-04 04:00","2023","10","04","04:00","5.6","","4.9","","95","","0.0","","23","","11","","","","93.21","","","","","","NA"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-04 05:00","2023","10","04","05:00","5.4","","4.5","","94","","0.0","","25","","11","","","","93.24","","","","","","NA"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-04 06:00","2023","10","04","06:00","5.7","","4.2","","90","","0.0","","27","","13","","","","93.26","","","","","","NA"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-04 07:00","2023","10","04","07:00","5.3","","3.6","","89","","0.0","","27","","12","","","","93.38","","","","","","NA"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-04 08:00","2023","10","04","08:00","7.2","","4.5","","83","","0.0","","29","","10","","","","93.48","","","","","","NA"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-04 09:00","2023","10","04","09:00","8.8","","5.2","","78","","0.0","","29","","12","","","","93.57","","","","","","NA"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-04 10:00","2023","10","04","10:00","9.8","","5.0","","72","","0.0","","31","","20","","","","93.64","","","","","","NA"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-04 11:00","2023","10","04","11:00","10.7","","4.5","","66","","0.0","","30","","25","","","","93.69","","","","","","NA"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-04 12:00","2023","10","04","12:00","11.5","","2.7","","55","","0.0","","32","","22","","","","93.75","","","","","","NA"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-04 13:00","2023","10","04","13:00","11.0","","2.2","","55","","0.0","","32","","22","","","","93.83","","","","","","NA"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-04 14:00","2023","10","04","14:00","10.6","","1.9","","55","","0.0","","32","","28","","","","93.93","","","","","","NA"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-04 15:00","2023","10","04","15:00","11.0","","2.1","","54","","0.0","","33","","23","","","","94.01","","","","","","NA"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-04 16:00","2023","10","04","16:00","11.1","","1.6","","52","","0.0","","33","","26","","","","94.10","","","","","","NA"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-04 17:00","2023","10","04","17:00","9.8","","1.6","","57","","0.0","","33","","20","","","","94.21","","","","","","NA"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-04 18:00","2023","10","04","18:00","7.8","","1.7","","65","","0.0","","35","","11","","","","94.27","","","","","","NA"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-04 19:00","2023","10","04","19:00","5.8","","1.2","","72","","0.0","","27","","4","","","","94.34","","","","","","NA"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-04 20:00","2023","10","04","20:00","6.5","","1.2","","69","","0.0","","32","","10","","","","94.45","","","","","","NA"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-04 21:00","2023","10","04","21:00","5.4","","0.2","","69","","0.0","","33","","11","","","","94.51","","","","","","NA"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-04 22:00","2023","10","04","22:00","2.8","","-0.7","","77","","0.0","","28","","5","","","","94.54","","","","","","NA"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-04 23:00","2023","10","04","23:00","3.7","","-1.5","","69","","0.0","","31","","11","","","","94.62","","","","","","NA"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-05 00:00","2023","10","05","00:00","3.7","","-1.6","","68","","0.0","","31","","9","","","","94.70","","","","","","NA"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-05 01:00","2023","10","05","01:00","3.5","","-2.0","","67","","0.0","","31","","13","","","","94.78","","","","","","NA"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-05 02:00","2023","10","05","02:00","3.2","","-2.1","","68","","0.0","","31","","10","","","","94.84","","","","","","NA"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-05 03:00","2023","10","05","03:00","2.8","","-2.0","","71","","0.0","","30","","8","","","","94.91","","","","","","NA"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-05 04:00","2023","10","05","04:00","2.8","","-2.5","","68","","0.0","","30","","10","","","","94.95","","","","","","NA"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-05 05:00","2023","10","05","05:00","1.4","","-3.3","","71","","0.0","","29","","11","","","","95.05","","","","","","NA"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-05 06:00","2023","10","05","06:00","1.3","","-4.9","","63","","0.0","","30","","12","","","","95.10","","","","","","NA"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-05 07:00","2023","10","05","07:00","0.6","","-5.0","","66","","0.0","","30","","13","","","","95.16","","","","","","NA"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-05 08:00","2023","10","05","08:00","1.9","","-4.8","","61","","0.0","","30","","14","","","","95.22","","","","","","NA"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-05 09:00","2023","10","05","09:00","2.8","","-6.0","","52","","0.0","","31","","24","","","","95.31","","","","","","NA"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-05 10:00","2023","10","05","10:00","3.8","","-7.3","","44","","0.0","","32","","21","","","","95.33","","","","","","NA"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-05 11:00","2023","10","05","11:00","4.1","","-9.6","","36","","0.0","","33","","27","","","","95.40","","","","","","NA"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-05 12:00","2023","10","05","12:00","4.7","","-9.5","","35","","0.0","","33","","25","","","","95.44","","","","","","NA"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-05 13:00","2023","10","05","13:00","5.4","","-9.8","","32","","0.0","","32","","23","","","","95.46","","","","","","NA"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-05 14:00","2023","10","05","14:00","5.8","","-10.3","","30","","0.0","","32","","23","","","","95.49","","","","","","NA"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-05 15:00","2023","10","05","15:00","5.8","","-9.6","","32","","0.0","","32","","18","","","","95.52","","","","","","NA"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-05 16:00","2023","10","05","16:00","6.2","","-9.7","","31","","0.0","","32","","15","","","","95.55","","","","","","NA"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-05 17:00","2023","10","05","17:00","4.9","","-9.9","","33","","0.0","","33","","20","","","","95.60","","","","","","NA"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-05 18:00","2023","10","05","18:00","2.9","","-8.6","","42","","0.0","","32","","7","","","","95.59","","","","","","NA"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-05 19:00","2023","10","05","19:00","-0.5","","-8.2","","56","","0.0","","19","","6","","","","95.62","","","","-3","","NA"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-05 20:00","2023","10","05","20:00","-2.0","","-8.4","","62","","0.0","","18","","6","","","","95.54","","","","-4","","NA"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-05 21:00","2023","10","05","21:00","-2.6","","-8.3","","65","","0.0","","18","","9","","","","95.51","","","","-6","","NA"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-05 22:00","2023","10","05","22:00","-3.5","","-7.8","","72","","0.0","","21","","6","","","","95.50","","","","-6","","NA"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-05 23:00","2023","10","05","23:00","-2.0","","-8.5","","62","","0.0","","19","","6","","","","95.44","","","","-4","","NA"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-06 00:00","2023","10","06","00:00","-1.5","","-8.1","","61","","0.0","","20","","9","","","","95.39","","","","-5","","NA"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-06 01:00","2023","10","06","01:00","-1.1","","-8.4","","58","","0.0","","21","","9","","","","95.36","","","","-4","","NA"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-06 02:00","2023","10","06","02:00","1.8","","-7.7","","49","","0.0","","21","","10","","","","95.26","","","","","","NA"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-06 03:00","2023","10","06","03:00","2.9","","-8.0","","45","","0.0","","21","","12","","","","95.16","","","","","","NA"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-06 04:00","2023","10","06","04:00","3.7","","-6.6","","47","","0.0","","21","","13","","","","95.07","","","","","","NA"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-06 05:00","2023","10","06","05:00","3.3","","-5.7","","52","","0.0","","20","","15","","","","94.96","","","","","","NA"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-06 06:00","2023","10","06","06:00","2.8","","-5.0","","57","","0.0","","20","","16","","","","94.87","","","","","","NA"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-06 07:00","2023","10","06","07:00","2.3","","-4.4","","61","","0.0","","22","","17","","","","94.78","","","","","","NA"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-06 08:00","2023","10","06","08:00","3.6","","-3.6","","59","","0.0","","23","","16","","","","94.74","","","","","","NA"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-06 09:00","2023","10","06","09:00","5.1","","-3.0","","56","","0.0","","23","","17","","","","94.68","","","","","","NA"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-06 10:00","2023","10","06","10:00","8.1","","-1.5","","51","","0.0","","23","","16","","","","94.62","","","","","","NA"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-06 11:00","2023","10","06","11:00","10.5","","0.8","","51","","0.0","","21","","17","","","","94.48","","","","","","NA"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-06 12:00","2023","10","06","12:00","12.4","","2.1","","49","","0.0","","23","","16","","","","94.42","","","","","","NA"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-06 13:00","2023","10","06","13:00","15.4","","4.0","","47","","0.0","","22","","18","","","","94.29","","","","","","NA"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-06 14:00","2023","10","06","14:00","16.6","","4.9","","46","","0.0","","23","","17","","","","94.17","","","","","","NA"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-06 15:00","2023","10","06","15:00","17.9","","6.0","","46","","0.0","","22","","17","","","","94.06","","","","","","NA"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-06 16:00","2023","10","06","16:00","18.2","","6.0","","45","","0.0","","23","","16","","","","93.97","","","","","","NA"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-06 17:00","2023","10","06","17:00","19.8","","6.0","","41","","0.0","","23","","15","","","","93.90","","","","","","NA"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-06 18:00","2023","10","06","18:00","17.4","","5.8","","47","","0.0","","25","","12","","","","93.89","","","","","","NA"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-06 19:00","2023","10","06","19:00","18.2","","4.4","","40","","0.0","","31","","16","","","","93.94","","","","","","NA"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-06 20:00","2023","10","06","20:00","15.5","","4.5","","48","","0.0","","27","","7","","","","93.98","","","","","","NA"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-06 21:00","2023","10","06","21:00","14.3","","4.6","","52","","0.0","","22","","8","","","","93.98","","","","","","NA"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-06 22:00","2023","10","06","22:00","14.1","","4.5","","53","","0.0","","23","","8","","","","94.02","","","","","","NA"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-06 23:00","2023","10","06","23:00","12.6","","4.6","","58","","0.0","","24","","9","","","","94.02","","","","","","NA"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-07 00:00","2023","10","07","00:00","10.7","","4.3","","65","","0.0","","23","","9","","","","94.05","","","","","","NA"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-07 01:00","2023","10","07","01:00","10.5","","4.5","","66","","0.0","","25","","11","","","","94.08","","","","","","NA"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-07 02:00","2023","10","07","02:00","9.6","","4.4","","70","","0.0","","24","","9","","","","94.09","","","","","","NA"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-07 03:00","2023","10","07","03:00","10.5","","4.6","","67","","0.0","","22","","9","","","","94.10","","","","","","NA"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-07 04:00","2023","10","07","04:00","9.1","","4.3","","72","","0.0","","22","","11","","","","94.11","","","","","","NA"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-07 05:00","2023","10","07","05:00","8.7","","4.1","","73","","0.0","","21","","9","","","","94.16","","","","","","NA"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-07 06:00","2023","10","07","06:00","9.6","","4.4","","70","","0.0","","21","","10","","","","94.17","","","","","","NA"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-07 07:00","2023","10","07","07:00","8.5","","4.0","","73","","0.0","","20","","9","","","","94.13","","","","","","NA"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-07 08:00","2023","10","07","08:00","10.0","","5.2","","72","","0.0","","22","","9","","","","94.17","","","","","","NA"
"-113.38","54.63","ATHABASCA AGCM","3060330","2023-10-07 09:00","2023","10","07","09:00","12.4","","5.8","","64","","0.0","","23","","10","","","","94.17","","","","","","NA"
